Brand,Series,Model,Model Number,RAM (GB),Storage (GB),Variant,4G/5G,Launch Year,Current India Price (₹),Price Status,Price Checked,Price Source,Price Basis
ASUS,ASUS,ROG Phone 9,AI2401,12.0,256.0,12GB RAM / 256GB,5G,2024,79999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
ASUS,ASUS,ROG Phone 9,AI2401,16.0,512.0,16GB RAM / 512GB,5G,2024,79999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
ASUS,ASUS,ROG Phone 9 Pro,AI2401,16.0,512.0,16GB RAM / 512GB,5G,2024,109999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
ASUS,ASUS,ROG Phone 9 Pro,AI2401,24.0,1024.0,24GB RAM / 1024GB,5G,2024,109999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
ASUS,ASUS,Zenfone 12 Ultra,AI2401,12.0,256.0,12GB RAM / 256GB,5G,2025,89999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
ASUS,ASUS,Zenfone 12 Ultra,AI2401,16.0,512.0,16GB RAM / 512GB,5G,2025,89999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 13,A2633,4.0,128.0,4GB RAM / 128GB,5G,2021,45690.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 13,A2633,4.0,256.0,4GB RAM / 256GB,5G,2021,45690.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 13,A2633,4.0,512.0,4GB RAM / 512GB,5G,2021,45690.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 14,A2882,6.0,128.0,6GB RAM / 128GB,5G,2022,51499.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 14,A2882,6.0,256.0,6GB RAM / 256GB,5G,2022,51499.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 14,A2882,6.0,512.0,6GB RAM / 512GB,5G,2022,51499.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 15,A3090,6.0,128.0,6GB RAM / 128GB,5G,2023,59900.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 15,A3090,6.0,256.0,6GB RAM / 256GB,5G,2023,59900.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 15,A3090,6.0,512.0,6GB RAM / 512GB,5G,2023,59900.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 15 Plus,A3094,6.0,128.0,6GB RAM / 128GB,5G,2023,69900.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 15 Plus,A3094,6.0,256.0,6GB RAM / 256GB,5G,2023,69900.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 15 Plus,A3094,6.0,512.0,6GB RAM / 512GB,5G,2023,69900.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 16,A3281,8.0,128.0,8GB RAM / 128GB,5G,2024,69900.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 16,A3281,8.0,256.0,8GB RAM / 256GB,5G,2024,69900.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 16,A3281,8.0,512.0,8GB RAM / 512GB,5G,2024,69900.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 16 Plus,A3290,8.0,128.0,8GB RAM / 128GB,5G,2024,79900.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 16 Plus,A3290,8.0,256.0,8GB RAM / 256GB,5G,2024,79900.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 16 Plus,A3290,8.0,512.0,8GB RAM / 512GB,5G,2024,79900.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 16 Pro,A3293,8.0,128.0,8GB RAM / 128GB,5G,2024,109900.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 16 Pro,A3293,8.0,256.0,8GB RAM / 256GB,5G,2024,109900.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 16 Pro,A3293,8.0,512.0,8GB RAM / 512GB,5G,2024,109900.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 16 Pro,A3293,8.0,1024.0,8GB RAM / 1024GB,5G,2024,109900.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 16 Pro Max,A3296,8.0,256.0,8GB RAM / 256GB,5G,2024,134900.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 16 Pro Max,A3296,8.0,512.0,8GB RAM / 512GB,5G,2024,134900.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 16 Pro Max,A3296,8.0,1024.0,8GB RAM / 1024GB,5G,2024,134900.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 16e,A3212,8.0,128.0,8GB RAM / 128GB,5G,2025,59900.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 16e,A3212,8.0,256.0,8GB RAM / 256GB,5G,2025,59900.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 16e,A3212,8.0,512.0,8GB RAM / 512GB,5G,2025,59900.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 17,A3250,8.0,256.0,8GB RAM / 256GB,5G,2025,98900.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 17,A3250,8.0,512.0,8GB RAM / 512GB,5G,2025,98900.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 17 Pro,A3253,12.0,256.0,12GB RAM / 256GB,5G,2025,130490.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 17 Pro,A3253,12.0,512.0,12GB RAM / 512GB,5G,2025,130490.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 17 Pro,A3253,12.0,1024.0,12GB RAM / 1024GB,5G,2025,130490.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 17 Pro Max,A3256,12.0,256.0,12GB RAM / 256GB,5G,2025,143990.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 17 Pro Max,A3256,12.0,512.0,12GB RAM / 512GB,5G,2025,143990.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 17 Pro Max,A3256,12.0,1024.0,12GB RAM / 1024GB,5G,2025,143990.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 18,A3308,8.0,128.0,8GB RAM / 128GB,5G,2026,89999.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 18,A3308,8.0,256.0,8GB RAM / 256GB,5G,2026,89999.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 18,A3308,8.0,512.0,8GB RAM / 512GB,5G,2026,89999.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 18 Pro,A3309,12.0,256.0,12GB RAM / 256GB,5G,2026,164900.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 18 Pro,A3309,12.0,512.0,12GB RAM / 512GB,5G,2026,164900.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 18 Pro,A3309,12.0,1024.0,12GB RAM / 1024GB,5G,2026,164900.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 18 Pro Max,A3310,12.0,256.0,12GB RAM / 256GB,5G,2026,179900.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 18 Pro Max,A3310,12.0,512.0,12GB RAM / 512GB,5G,2026,179900.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone 18 Pro Max,A3310,12.0,1024.0,12GB RAM / 1024GB,5G,2026,179900.0,Verified current listing,25-Sep-2026,Smartprix India price list / model page,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone Air,A3307,12.0,256.0,12GB RAM / 256GB,5G,2026,119900.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone Air,A3307,12.0,512.0,12GB RAM / 512GB,5G,2026,119900.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
Apple,iPhone,iPhone Air,A3307,12.0,1024.0,12GB RAM / 1024GB,5G,2026,119900.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
CMF,Phone,CMF Phone 1,A015,6.0,128.0,6GB RAM / 128GB,5G,2024,15999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
CMF,Phone,CMF Phone 1,A015,8.0,128.0,8GB RAM / 128GB,5G,2024,15999.0,Model-level current/market reference,25-Sep-2026,India price-list cross-check,Model-level price; verify RAM/storage variant
